eha_id	aspect.sin	aspect.cos	rel_alt
1428	-0.68	-0.33	-276.57
1433	-0.2	-0.24	-160.21
1434	-0.62	0.45	-181.11
1435	0.34	-0.72	-186.81
1436	-0.4	-0.58	-154.72
1441	0.36	-0.39	-418.59
1447	0.14	-0.44	-240.52
1448	-0.32	-0.49	-251.29
1450	-0.26	-0.5	-334.61
1451	0.51	0.53	-323.6
1452	0.07	-0.56	-313.53
1460	0.83	-0.01	-128.98
1461	0.77	0.06	-158.33
1463	0.73	-0.17	-233.18
1464	0.1	-0.57	-263.16
1472	-0.38	-0.53	-219.26
1474	0.19	-0.5	-238.22
1484	0.61	0.28	-357.71
1487	0.55	0.53	-238.98
1489	0.82	0.09	-198.44
1490	0.68	-0.24	-301.07
1497	0.68	0.14	-288.15
1499	0.64	0.44	-178.93
1500	0.56	-0.16	-243
1511	0.51	-0.06	-433.92
1512	0.46	-0.38	-427.6
1524	0.54	-0.1	-364.27
1525	0.65	0.08	-401.05
1527	0.63	0.12	-378.8
1528	0.61	0.03	-384.24
1530	0.6	0.01	-479.36
1532	0.57	-0.21	-495.34
1541	0.5	0.05	-495.14
1542	0.41	-0.29	-478.11
1544	0.39	-0.25	-489.24
1549	0.59	-0.14	-371.13
1550	0.33	-0.4	-420.34
1552	0.45	-0.46	-420.85
1565	0.75	-0.11	-119.31
1566	0.03	-0.63	-167.31
1568	0.54	-0.35	-167.19
1572	0.69	0.05	-263.84
1573	0.51	0.06	-414.79
1578	0.61	-0.09	-277.5
1583	0.17	-0.17	-538.09
1586	0.53	-0.33	-384.95
1592	0.71	-0.05	-410.87
1595	0.69	-0.22	-493.25
1596	0.46	-0.46	-476.81
1599	0.79	-0.05	-301.87
1605	0.75	0.01	-411.47
1606	0.81	-0.11	-381.32
1614	0.59	-0.28	-501.33
1617	0.73	-0.07	-483.5
1619	0.72	-0.05	-482.23
1622	0.71	0.12	-512.37
